speaker,Speaker-1686,Baskar Rao Dandlamudi ,Baskar Rao,Dandlamudi 
speaker,Speaker-1687,Brett Berliner,Brett,Berliner
speaker,Speaker-1688,Brian McKeiver,Brian,McKeiver
speaker,Speaker-1689,Brian Korzynski,Brian,Korzynski
speaker,Speaker-1690,Brian MacDonald,Brian,MacDonald
speaker,Speaker-1692,C Daniel Waddell,C Daniel,Waddell
speaker,Speaker-1694,Cameron Presley,Cameron,Presley
speaker,Speaker-1695,Cassandra Faris,Cassandra,Faris
speaker,Speaker-1696,Chad Green,Chad,Green
speaker,Speaker-1699,Christopher Judd,Christopher,Judd
speaker,Speaker-1700,Clayton Hunt,Clayton,Hunt
speaker,Speaker-1704,Derik Whittaker,Derik,Whittaker
speaker,Speaker-1705,Deven Phillips,Deven,Phillips
speaker,Speaker-1711,Elizabeth Gray,Elizabeth,Gray
speaker,Speaker-1716,Guy Royse,Guy,Royse
speaker,Speaker-1718,Hod Greeley,Hod,Greeley
speaker,Speaker-1720,James Strong,James,Strong
speaker,Speaker-1721,Jamie Wright,Jamie,Wright
speaker,Speaker-1722,Jared Faris,Jared,Faris
speaker,Speaker-1723,Jason Still,Jason,Still
speaker,Speaker-1724,Jason Crist,Jason,Crist
speaker,Speaker-1726,Jason McCreary,Jason,McCreary
speaker,Speaker-1727,Jeffrey Strauss,Jeffrey,Strauss
speaker,Speaker-1728,Jeff McKenzie,Jeff,McKenzie
speaker,Speaker-1730,Jeremy Clark,Jeremy,Clark
speaker,Speaker-1731,Jim Everett,Jim,Everett
speaker,Speaker-1732,Jimmy Bogard,Jimmy,Bogard
speaker,Speaker-1735,John Callaway,John,Callaway
speaker,Speaker-1738,Jonathan Kemp,Jonathan,Kemp
speaker,Speaker-1739,Jonathan Mills,Jonathan,Mills
speaker,Speaker-1740,"Jonathan ""J."" Tower","Jonathan ""J.""",Tower
speaker,Speaker-1749,Matthew Jones,Matthew,Jones
speaker,Speaker-1754,Michael Eaton,Michael,Eaton
speaker,Speaker-1755,Michael Dowden,Michael,Dowden
speaker,Speaker-1757,Mike Hand,Mike,Hand
speaker,Speaker-1759,Mitchel Sellers,Mitchel,Sellers
speaker,Speaker-1760,Nick Branstein,Nick,Branstein
speaker,Speaker-1767,Polina Abramov,Polina,Abramov
speaker,Speaker-1769,Randy Pagels,Randy,Pagels
speaker,Speaker-1770,Richard Roda,Richard,Roda
speaker,Speaker-1778,Scott Addie,Scott,Addie
speaker,Speaker-1784,Susan Potter,Susan,Potter
speaker,Speaker-1786,Thomas Haver,Thomas,Haver
speaker,Speaker-1788,Todd Nussbaum,Todd,Nussbaum
speaker,Speaker-1789,Todd Merritt,Todd,Merritt
speaker,Speaker-1791,Tyler Stephenson,Tyler,Stephenson
speaker,Speaker-1904,Ahmed Firjani,Ahmed,Firjani
speaker,Speaker-1905,Alexander Slotte,Alexander,Slotte
speaker,Speaker-1906,Alison Hawke,Alison,Hawke
speaker,Speaker-1907,Anthony Neace,Anthony,Neace
speaker,Speaker-1908,Aydin Akcasu,Aydin,Akcasu
speaker,Speaker-1909,Bryan Robinson,Bryan,Robinson
speaker,Speaker-1910,Cam Soper,Cam,Soper
speaker,Speaker-1911,Charlotte Shreve,Charlotte,Shreve
speaker,Speaker-1912,Chris Woodruff,Chris,Woodruff
speaker,Speaker-1913,Daniel Davis,Daniel,Davis
speaker,Speaker-1914,David Merk,David,Merk
speaker,Speaker-1915,Debbie Ryan,Debbie,Ryan
speaker,Speaker-1916,Dorrin Poorkay,Dorrin,Poorkay
speaker,Speaker-1917,Douglas Starnes,Douglas,Starnes
speaker,Speaker-1918,Duane Newman,Duane,Newman
speaker,Speaker-1919,Dustin Doom,Dustin,Doom
speaker,Speaker-1920,Ed Charbeneau,Ed,Charbeneau
speaker,Speaker-1921,Eric Rhoads,Eric,Rhoads
speaker,Speaker-1922,Eric Potter,Eric,Potter
speaker,Speaker-1923,Fen Slattery,Fen,Slattery
speaker,Speaker-1924,Gianugo Rabellino,Gianugo,Rabellino
speaker,Speaker-1925,Heath Murphy,Heath,Murphy
speaker,Speaker-1926,James Quick,James,Quick
speaker,Speaker-1927,Jason Robert,Jason,Robert
speaker,Speaker-1928,Jeremy Gray,Jeremy,Gray
speaker,Speaker-1929,Joe Gardner,Joe,Gardner
speaker,Speaker-1930,Joe Elliott,Joe,Elliott
speaker,Speaker-1931,John Eiler,John,Eiler
speaker,Speaker-1932,Jonathan Ash,Jonathan,Ash
speaker,Speaker-1933,Jordan Paris,Jordan,Paris
speaker,Speaker-1934,Keith Elder,Keith,Elder
speaker,Speaker-1935,Kim Preece,Kim,Preece
speaker,Speaker-1936,Latha Nallaperumal,Latha,Nallaperumal
speaker,Speaker-1937,Lemon ??,Lemon,??
speaker,Speaker-1938,Luther Hill,Luther,Hill
speaker,Speaker-1939,Mark Gardner,Mark,Gardner
speaker,Speaker-1940,Martine Dowden,Martine,Dowden
speaker,Speaker-1941,Matthew Von-Maszewski,Matthew,Von-Maszewski
speaker,Speaker-1942,Matthew Groves,Matthew,Groves
speaker,Speaker-1943,Matthew Burleigh,Matthew,Burleigh
speaker,Speaker-1944,Michael Richardson,Michael,Richardson
speaker,Speaker-1945,Mike Schlegel,Mike,Schlegel
speaker,Speaker-1946,Mike Branstein,Mike,Branstein
speaker,Speaker-1947,Ondrej Balas,Ondrej,Balas
speaker,Speaker-1948,Paul Hacker,Paul,Hacker
speaker,Speaker-1949,Pavan Yadlapalli,Pavan,Yadlapalli
speaker,Speaker-1950,Phil Japikse,Phil,Japikse
speaker,Speaker-1951,Philip Bailey,Philip,Bailey
speaker,Speaker-1952,Phillip Jones,Phillip,Jones
speaker,Speaker-1953,Randall Degges,Randall,Degges
speaker,Speaker-1954,Richard Teachout,Richard,Teachout
speaker,Speaker-1955,Rob Hedgpeth,Rob,Hedgpeth
speaker,Speaker-1956,Rob Richardson,Rob,Richardson
speaker,Speaker-1957,Ryan Albertson,Ryan,Albertson
speaker,Speaker-1958,Santosh Hari,Santosh,Hari
speaker,Speaker-1959,Sarah Higley,Sarah,Higley
speaker,Speaker-1960,Scott Drake,Scott,Drake
speaker,Speaker-1961,Shamir Patel,Shamir,Patel
speaker,Speaker-1962,Shannon Beach,Shannon,Beach
speaker,Speaker-1963,Shauntrice Martin,Shauntrice,Martin
speaker,Speaker-1964,Shine Garg,Shine,Garg
speaker,Speaker-1965,Stephanie Chamblee,Stephanie,Chamblee
speaker,Speaker-1966,Tamay Shannon,Tamay,Shannon
speaker,Speaker-1967,Timothy Brown,Timothy,Brown
speaker,Speaker-1968,Tony Thigpen,Tony,Thigpen
speaker,Speaker-1969,Walt Ritscher,Walt,Ritscher
speaker,Speaker-1970,Casey Albertsun,Casey,Albertsun
speaker,Speaker-1972,Lee Brandt,Lee,Brandt
speaker,Speaker-1976,Henry Gallo,Henry,Gallo
speaker,Speaker-1977,Matt Garber,Matt,Garber
speaker,Speaker-1978,Brooke Neace,Brooke,Neace
speaker,Speaker-1979,Humana Experience Center,Humana,Experience Center
speaker,Speaker-1980,Shawn  Hooton ,Shawn ,Hooton 
speaker,Speaker-1981,Chris Burgin,Chris,Burgin
speaker,Speaker-1982,Elastic [SPONSOR],Elastic,[SPONSOR]
speaker,Speaker-1983,FocustApps  [SPONSOR],FocustApps, [SPONSOR]
speaker,Speaker-1984,Jason McKee,Jason,McKee
speaker,Speaker-1985,Tyler Blake,Tyler,Blake
speaker,Speaker-1986,Alan Galloway,Alan,Galloway
speaker,Speaker-1987,Austyn Hill,Austyn,Hill
speaker,Speaker-1988,Patrick Tucker,Patrick,Tucker
speaker,Speaker-1989,Scott Schuenemeyer,Scott,Schuenemeyer
speaker,Speaker-1990,UPS ,UPS,
speaker,Speaker-1991,Eric Hayes,Eric,Hayes
speaker,Speaker-1992,Waleed Ahmed,Waleed,Ahmed
speaker,Speaker-1993,Chris Greenlee,Chris,Greenlee
speaker,Speaker-1994,Lawrence Middleton,Lawrence,Middleton
speaker,Speaker-1995,Matt Plappert,Matt,Plappert
speaker,Speaker-1996,Tom Carter,Tom,Carter
speaker,Speaker-1997,Zachary Stout,Zachary,Stout
speaker,Speaker-1998,Chris Nelson,Chris,Nelson
speaker,Speaker-1999,David Buckingham,David,Buckingham
speaker,Speaker-2000,Tate McCormick,Tate,McCormick
speaker,Speaker-2001,Amanda Perkins,Amanda,Perkins
speaker,Speaker-2002,Angela Parks,Angela,Parks
speaker,Speaker-2003,Ashley Stove,Ashley,Stove
speaker,Speaker-2004,Austin Parker,Austin,Parker
speaker,Speaker-2005,Avindra Fernando,Avindra,Fernando
speaker,Speaker-2006,Brandon Bruno,Brandon,Bruno
speaker,Speaker-2007,Brian Luerman,Brian,Luerman
